Date,Notices du catalogue,Titre,Titre original,Éditeur,Responsabilité principale,Responsabilité secondaire,Nom Traducteurs,ISNI Traducteurs
1936,http://catalogue.bnf.fr/ark:/12148/cb354963079,Christine Lavransdatter,Kristin Lavransdatter,Stock,Sigrid Undset,trad. du norvégien par E. Avenard; préf. de André Bellessort,"['Avenard, Étienne ']",['ISNI0000000045565989']
1936,http://catalogue.bnf.fr/ark:/12148/cb317894281,La couronne,Kransen,"Stock, Delamain et Boutelleau",Sigrid Undset,"traduit du norvégien par E. Avenard; préface de André Bellessort,...","['Avenard, Étienne ']",['ISNI0000000045565989']
1937,http://catalogue.bnf.fr/ark:/12148/cb32220217p,Vagabonds,,Bernard Grasset,Knut Hamsun,Traduit du norvégien par Jean Petithuguenin,"['Petithuguenin, Jean  (1878-1939)']",['ISNI0000000360295376']
1938,http://catalogue.bnf.fr/ark:/12148/cb318881551,Tourmente,,Les Œuvres françaises,H. Bugge Mahrt,roman traduit du norvégien par Sven Sainderichin; adapté par Jacques Saint-Germain,"['Sainderichin, Sven  (1918-2008)']",['ISNI0000000000021224']
1938,http://catalogue.bnf.fr/ark:/12148/cb31744614v,La Femme,Husfrue,"Stock, Delamain et Boutelleau",Sigrid Undset,traduit du norvégien par E. Avenard,"['Avenard, Étienne ']",[]
1938,http://catalogue.bnf.fr/ark:/12148/cb32445245w,La croix,Korset,"Stock, Delamain et Boutelleau",Sigrid Undset,traduit du norvégien par Th. Hammar et M. Metzger,"['Metzger, Marthe ', 'Hammar, Thekla  (1872-1953)']","['ISNI0000000066415103', 'ISNI0000000110293992']"
1939,http://catalogue.bnf.fr/ark:/12148/cb322099490,Là-bas... chante la forêt : roman,Og bakom synger skogene,V. Attinger,Trygve Gulbranssen,"traduit du norvégien par Mercédès Sundt; préface de Marie Gevers,...","['Sundt, Mercédès ']",[]
1940,http://catalogue.bnf.fr/ark:/12148/cb31511977w,La femme fidèle : roman,Den trofaste hustru,Gallimard,Sigrid Undset,traduit du norvégien par T. Hammar et M. Metzger,"['Metzger, Marthe ', 'Hammar, Thekla  (1872-1953)']","['ISNI0000000066415103', 'ISNI0000000110293992']"
1941,http://catalogue.bnf.fr/ark:/12148/cb360109346,Les hommes du roi : roman,,Calmann-Lévy,Johan Bojer,trad. du norvégien par P.-G. La Chesnais,"['La Chesnais, P. G.  (1865-1948)']",['ISNI0000000081023765']
1941,http://catalogue.bnf.fr/ark:/12148/cb36010935j,Les hommes du roi : roman,,Calmann-Lévy,Johan Bojer,trad. du norvégien par P.-G. La Chesnais,"['La Chesnais, P. G.  (1865-1948)']",['ISNI0000000081023765']
1942,http://catalogue.bnf.fr/ark:/12148/cb322269110,Ane-Marie Arnaas,Ane-Marie Arnaas,F. Sorlot,Andréas Haukland,traduit du norvégien par Marguerite Gay et Gerd de Mautort,"['Mautort, Gerd de ', 'Gay, Marguerite ']","['ISNI0000000061555174', 'ISNI0000000066414522']"
1943,http://catalogue.bnf.fr/ark:/12148/cb323083912,L'anémone des chaumes : nouvelles,,Stock Delamain et Boutelleau,Hans E. Kinck,traduit du norvégien avec une préface par Jean Lescoffier,"['Lescoffier, Jean  (1875-1947)']",['ISNI0000000007842797']
1943,http://catalogue.bnf.fr/ark:/12148/cb370635580,La faim,Sult,Éd. universitaires,Knut Hamsun,trad. du norvégien sur le texte définitif par Georges Sautreau; avec une préf. d'Octave Mirbeau,"['Sautreau, Georges  (1875-1951)']",['ISNI0000000117452562']
1944,http://catalogue.bnf.fr/ark:/12148/cb31694460b,La voûte : roman de mœurs norvégiennes,,les Presses de la cité,Aadal,traduit par O. Grund,"['Grund, O. ']",[]
1945,http://catalogue.bnf.fr/ark:/12148/cb32497252p,Traqué,,éditions Albert; Les Presses de la Cité,Arthur Omre,traduit du norvégien par Madame Chevalley; préface de Georges Simenon,"['Chevalley, Marguerite  (1880-1979)']",['ISNI000000010930173X']
1946,http://catalogue.bnf.fr/ark:/12148/cb320866759,Le Daro : un jeune pêcheur norvégien au pays des Sames,,G.-T. Rageot,Hakon Evjenth,traduit du norvégien par P.-G. La Chesnais; illustrations de Léon Blot,"['La Chesnais, P. G.  (1865-1948)']",['ISNI0000000081023765']
1946,http://catalogue.bnf.fr/ark:/12148/cb32210044t,Nous deux,Det byrja ei jonsoknatt,Marguerat,Olav Gullvaag,traduit du norvégien par Madeleine Blanc-Paulsen,"['Blanc-Paulsen, Madeleine ']",['ISNI0000000000664756']
1946,http://catalogue.bnf.fr/ark:/12148/cb324085626,Tourmente : roman,,les Œuvres françaises,H. Bugge Mahrt,traduit du norvégien par Sven et Pierre Sainderichin,"['Sainderichin, Pierre  (1918-2012)', 'Sainderichin, Sven  (1918-2008)']","['ISNI0000000039886356', 'ISNI0000000000021224']"
1946,http://catalogue.bnf.fr/ark:/12148/cb37490167f,Madame Dorthéa : roman,Madame Dorthea,Éditions Stock Delamain et Boutelleau,Sigrid Undset,traduit du norvégien par T. Hammar et M. Metzger,"['Hammar, Thekla  (1872-1953)', 'Metzger, Marthe ']","['ISNI0000000110293992', 'ISNI0000000066415103']"
