Item Type;Publication Year;Author;Title;Publication Title;Pages;Num Pages;Volume;Series;Place;Extra;Notes;Correspondance Sudoc;Correspondance BnF
book;1901;"Bjørnson, Bjørnstjerne; Lugné-Poë, Aurélien Marie";"Au-dessus des forces humaines : Drame en six actes, en deux parties ; Ire Partie, deux actes ; IIe partie, quatre actes ; Traduit par M. Lugné-Poë avec l'autorisation et l'approbation de l`àuteur";;;388 s.;;;Paris;;;['http://www.sudoc.fr/253982456', 'http://www.sudoc.fr/219441049', 'http://www.sudoc.fr/181093081', 'http://www.sudoc.fr/267150474', 'http://www.sudoc.fr/084111569', 'http://www.sudoc.fr/125414528', 'http://www.sudoc.fr/25394838X', 'http://www.sudoc.fr/219788855', 'http://www.sudoc.fr/260288497', 'http://www.sudoc.fr/152525319', 'http://www.sudoc.fr/196722683', 'http://www.sudoc.fr/024069450', 'http://www.sudoc.fr/106177559', 'http://www.sudoc.fr/158698932', 'http://www.sudoc.fr/149348487', 'http://www.sudoc.fr/138158800', 'http://www.sudoc.fr/13389049X', 'http://www.sudoc.fr/042654084', 'http://www.sudoc.fr/065183290', 'http://www.sudoc.fr/099890763', 'http://www.sudoc.fr/224279564', 'http://www.sudoc.fr/186909217', 'http://www.sudoc.fr/114247536', 'http://www.sudoc.fr/221798250', 'http://www.sudoc.fr/221798234', 'http://www.sudoc.fr/101309163', 'http://www.sudoc.fr/142919586', 'http://www.sudoc.fr/204727057', 'http://www.sudoc.fr/099687984', 'http://www.sudoc.fr/201297108', 'http://www.sudoc.fr/132231107', 'http://www.sudoc.fr/07606736X', 'http://www.sudoc.fr/254309186', 'http://www.sudoc.fr/236095595', 'http://www.sudoc.fr/265915848', 'http://www.sudoc.fr/120684519', 'http://www.sudoc.fr/223705217', 'http://www.sudoc.fr/132304120', 'http://www.sudoc.fr/192192884', 'http://www.sudoc.fr/180891413', 'http://www.sudoc.fr/278372929', 'http://www.sudoc.fr/025807188', 'http://www.sudoc.fr/102293635', 'http://www.sudoc.fr/223328332', 'http://www.sudoc.fr/13106343X', 'http://www.sudoc.fr/085031410', 'http://www.sudoc.fr/045281092', 'http://www.sudoc.fr/059890940', 'http://www.sudoc.fr/198546858', 'http://www.sudoc.fr/265837030', 'http://www.sudoc.fr/265836115', 'http://www.sudoc.fr/117665908', 'http://www.sudoc.fr/254667775', 'http://www.sudoc.fr/254915051', 'http://www.sudoc.fr/255000863', 'http://www.sudoc.fr/233087346', 'http://www.sudoc.fr/084461039', 'http://www.sudoc.fr/227537734', 'http://www.sudoc.fr/221510168', 'http://www.sudoc.fr/110213769', 'http://www.sudoc.fr/030436885', 'http://www.sudoc.fr/253482925', 'http://www.sudoc.fr/082233470', 'http://www.sudoc.fr/096657162', 'http://www.sudoc.fr/255146922', 'http://www.sudoc.fr/197656838', 'http://www.sudoc.fr/200725645', 'http://www.sudoc.fr/186101902', 'http://www.sudoc.fr/244184623', 'http://www.sudoc.fr/265448026', 'http://www.sudoc.fr/04909307X', 'http://www.sudoc.fr/107481936', 'http://www.sudoc.fr/274222523', 'http://www.sudoc.fr/163121796', 'http://www.sudoc.fr/224298097', 'http://www.sudoc.fr/070519129', 'http://www.sudoc.fr/121128881', 'http://www.sudoc.fr/260703249', 'http://www.sudoc.fr/125914695', 'http://www.sudoc.fr/02692630X', 'http://www.sudoc.fr/188867473', 'http://www.sudoc.fr/184664373', 'http://www.sudoc.fr/05666852X', 'http://www.sudoc.fr/135822211', 'http://www.sudoc.fr/01483314X', 'http://www.sudoc.fr/263161366', 'http://www.sudoc.fr/158661125', 'http://www.sudoc.fr/101694946', 'http://www.sudoc.fr/188616489', 'http://www.sudoc.fr/129197084', 'http://www.sudoc.fr/047249692', 'http://www.sudoc.fr/139109269', 'http://www.sudoc.fr/044401981', 'http://www.sudoc.fr/106283626', 'http://www.sudoc.fr/254217575', 'http://www.sudoc.fr/254132677', 'http://www.sudoc.fr/15763521X', 'http://www.sudoc.fr/059193964', 'http://www.sudoc.fr/021981841', 'http://www.sudoc.fr/264634691'];Pas de notice trouvée dans le catalogue de la BnF
book;1901;"Bjørnson, Bjørnstjerne; Rémusat, Martine";Laboremus;;;219 s. 18 cm;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2021-01-23;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb30108899k', 'http://catalogue.bnf.fr/ark:/12148/cb30108900z', 'http://catalogue.bnf.fr/ark:/12148/cb387042842']
book;1901;Bjørnson, Bjørnstjerne;"roi  : drame en quatre actes ; Le journaliste : drame en quatre actes";;;301 s.;;Bibliotheque Cosmopolite;Paris;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb359589122']
journalArticle;1901;Bjørnson, Bjørnstjerne;châtiment;Carmen pro invictis;Side 53;;;;;Place: N. Veenstra;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1902;"Ibsen, Henrik; Trigant-Geneste, Jacques";"prétendants a la couronne ; Les guerriers a Helgeland";;;326 s.;;Bibliothèque cosmopolite;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-10-06;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb306325702']
book;1902;"Ibsen, Henrik; Colleville, Ludovic; Zepelin, F. de";Catilina : drame en trois actes et en vers;;;219 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-03-17;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1902;"Ibsen, Henrik; Casanove, Ch. de Bigault de";Empereur et Galiléen;;;XXIV, 360 s.;;Bibliothèque cosmopolite;Paris;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb30632566t']
book;1902;"Ibsen, Henrik; Colleville, Ludovic, comte de; Zepelin, F. de";Poésies complètes;;;XII, 226 s., pl. port.;;;Paris;;"Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-05-21; ""Précédées d'une étude par les traducteurs et d'une notice biographique par G. Brandes"" - Tittelbladet";['http://www.sudoc.fr/046250751'];['http://catalogue.bnf.fr/ark:/12148/cb30632535j', 'http://catalogue.bnf.fr/ark:/12148/cb30632536w', 'http://catalogue.bnf.fr/ark:/12148/cb416558619']
journalArticle;1902;Ibsen, Henrik;Catilina : drame en trois actes et en vers;La Plume;S. [945]-971, 1013-1045, 1086-1121;;Année 14, no 320, 321, 322(15. août, 1. sept., 15. sept. 1902);;;Place: Paris;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1902;"Ibsen, Henrik; Bertrand, Pierre; Nevers, Edmond de";"soutiens de la société ; L'union des jeunes";;;309 s.;;Bibliothéque cosmopolite;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-11-12;['http://www.sudoc.fr/016822315'];['http://catalogue.bnf.fr/ark:/12148/cb306325853', 'http://catalogue.bnf.fr/ark:/12148/cb41891852j']
