RCR;PPN;Titre;Responsabilité principale;Responsabilité secondaire;Éditeur;Date;Titre original;IdRef Auteurs;Auteurs;IdRef Traducteurs;Traducteurs
751052115;https://www.sudoc.fr/243584784;Pan;Knut Hamsun;traduit du norvégien par Mme R. Rémusat;;;Pan;['026913852'];['Hamsun, Knut (1859-1952)'];['028301692'];['Rémusat, Martine (1860-1930)']
751052115;https://www.sudoc.fr/12425313X;LesJaeger;Jonas Lie;traduit du norvégien par L. Meuriac;Collection internationale;1906;;['030188245'];['Lie, Jonas (1833-1908)'];[];[]
751052115;https://www.sudoc.fr/124250157;Synneuve Solbakken;Bjørnstjerne Bjørnson;Trad. du norvégien avec l'autorisation de l'auteur par Frédéric Baetzmann et Alphonse Pagès;Gedalge;1929;;['028489535'];['Bjørnson, Bjørnstjerne (1832-1910)'];[];['Baetzmann, Frederik ()' 'Pagès, Alphonse ()']
751052115;https://www.sudoc.fr/12424551X;Une faillite;Björnstierne Björnson;adaptation française de MM. Schürmann & Jacques Lemaire;;;;['028489535'];['Bjørnson, Bjørnstjerne (1832-1910)'];['203362098' '203362217'];['Schürmann, Joseph J. (1857-19..)' 'Lemaire, Jacques (1858-1913)']
751052115;https://www.sudoc.fr/103087303;Les nuits claires;Johan Bojer;traduit du norvégien par P.G. La Chesnais;Calmann-Lévy;1928;Liv;['088559971'];['Bojer, Johan (1872-1959)'];[];[]
751052115;https://www.sudoc.fr/102753466;Tourmente;Hakon Bugge Mahrt;traduit du Norvégien par Sven Sainderichin;Les oeuvres françaises;1938;Orkanen;['121752445'];['Bugge-Mahrt, Haakon (1901-1990)'];['027117901'];['Sainderichin, Sven (1918-2008)']
751052115;https://www.sudoc.fr/102716439;La puissance du mensonge;Johan Bojer;Traduit du norvégien par Guy-Charles Cros;Calman-Lévy;1921;Troens magt;['088559971'];['Bojer, Johan (1872-1959)'];[];['Cros, Guy-Charles ()']
751052115;https://www.sudoc.fr/102716315;Le dernier Viking;Johan Bojer;traduit du norvégien par P.-G. La Chesnais;Calman-Lévy;1931;Den siste Viking;['088559971'];['Bojer, Johan (1872-1959)'];[];[]
751052115;https://www.sudoc.fr/102695717;Mers du Nord;Andreas Haukland;Trad. du Norvégien par Marguerite Gay;Rieder;1930;Havet;['034628576'];['Haukland, Andréas (1873-1933)'];['026885883'];['Gay, Marguerite (1881-....)']
751052115;https://www.sudoc.fr/102694842;Ane Marie Arnaas;Andreas Haukland;traduit du norvégien par Marguerite Gay et Gerd de Mautort;F. Sorlot;1942;Ane Marie Arnaas;[];['Haukland, Andreas (1877-1933)'];['027019349' '026885883'];['Mautort, Gerd de (1905-1999)' 'Gay, Marguerite (1881-....)']
